ds;y
01.03.2022;0.0016450562312140845
02.03.2022;0.0014359176219533197
03.03.2022;0.0015615120776663206
04.03.2022;0.0017778259252887463
05.03.2022;0.0018555657089857716
06.03.2022;0.0015810445979547263
07.03.2022;0.001920189863303735
08.03.2022;0.0019184436586851261
09.03.2022;0.0016639451386768886
10.03.2022;0.0017405261711271093
11.03.2022;0.001905325032379413
12.03.2022;0.0019302587768504254
13.03.2022;0.0016028779818650304
14.03.2022;0.0018903419435071741
15.03.2022;0.0018392874393663172
16.03.2022;0.0015389799634457557
17.03.2022;0.0015742805266506553
18.03.2022;0.0017032331914354835
19.03.2022;0.0016985147328006304
20.03.2022;0.0013482707288307867
21.03.2022;0.0016200766440542266
22.03.2022;0.0015607973809903114
23.03.2022;0.0012597344271083972
24.03.2022;0.0013015937694205513
25.03.2022;0.0014440796794132132
26.03.2022;0.0014593555524547847
27.03.2022;0.001134895761224912
28.03.2022;0.0014374666175694258
29.03.2022;0.001413009337797358
30.03.2022;0.001149813463908423
31.03.2022;0.0012315131632100614
01.04.2022;0.001414710705937172
02.04.2022;0.0014704674714106935
03.04.2022;0.001185185601980533
04.04.2022;0.00152461757580901
05.04.2022;0.0015337758103257941
06.04.2022;0.0013001300276230063
07.04.2022;0.0014066241650058727
08.04.2022;0.001609316590484612
09.04.2022;0.0016788835480100856
10.04.2022;0.0014015086511282048
11.04.2022;0.0017428955284144614
12.04.2022;0.001748175701327823
13.04.2022;0.0015050995309123549
14.04.2022;0.0015970422539177916
15.04.2022;0.0017806292298839176
16.04.2022;0.0018272207986797123
17.04.2022;0.0015237801403332452
18.04.2022;0.001836861894811429
19.04.2022;0.0018124943384090124
20.04.2022;0.001539343709752009
21.04.2022;0.0016016934810433006
22.04.2022;0.0017570434671086656
23.04.2022;0.0017775699165260542
24.04.2022;0.0014509706739598014
25.04.2022;0.0017444338014064688
26.04.2022;0.0017045030001790465
27.04.2022;0.0014202288719007755
28.04.2022;0.0014761391474853846
29.04.2022;0.0016298329893982809
30.04.2022;0.0016534405985793683
01.05.2022;0.0013344721751569705
02.05.2022;0.0016397944559365884
03.05.2022;0.0016155078870303213
04.05.2022;0.0013501130769949794
05.05.2022;0.0014274991697383861
06.05.2022;0.0016045586710755164
07.05.2022;0.0016526693248545823
08.05.2022;0.0013585664074372357
09.05.2022;0.001688342958822698
10.05.2022;0.001687350300618428
11.05.2022;0.0014433867956500687
12.05.2022;0.001539706835615927
13.05.2022;0.0017326539946007176
14.05.2022;0.0017931584222139869
15.05.2022;0.001507621411715163
16.05.2022;0.0018419243288820782
17.05.2022;0.001841334029151793
18.05.2022;0.0015936926107473822
19.05.2022;0.0016824235008873326
20.05.2022;0.0018641579401636416
21.05.2022;0.0019102221777823308
22.05.2022;0.0016075086557918962
23.05.2022;0.0019224688033797792
24.05.2022;0.0019010000830519918
25.05.2022;0.0016316157135070463
26.05.2022;0.0016984296885731358
27.05.2022;0.0018587618055700148
28.05.2022;0.0018846036705506297
29.05.2022;0.0015634695999947267
30.05.2022;0.0018623706489564141
31.05.2022;0.0018276849658469426
01.06.2022;0.001548313389941808
02.06.2022;0.0016086533208505458
03.06.2022;0.0017661958899675783
04.06.2022;0.0017929876158192647
05.06.2022;0.0014764805693698248
06.06.2022;0.0017835092752629136
07.06.2022;0.0017601674354365702
08.06.2022;0.0014949731718777877
09.06.2022;0.0015718555001004077
10.06.2022;0.001747766657599267
11.06.2022;0.0017941609881393394
12.06.2022;0.001497863866550878
13.06.2022;0.0018250683051234218
14.06.2022;0.0018212317175905152
15.06.2022;0.0015742609201667105
16.06.2022;0.0016675174758667604
17.06.2022;0.0018574474312602306
18.06.2022;0.00191507561910277
19.06.2022;0.0016268875475087007
20.06.2022;0.0019588361300921487
21.06.2022;0.0019562454351211146
22.06.2022;0.001706999332643781
23.06.2022;0.001794547048426267
24.06.2022;0.0019755296822236913
25.06.2022;0.002021267977125245
26.06.2022;0.0017186345752161834
27.06.2022;0.0020340483227608464
28.06.2022;0.0020133631962365476
29.06.2022;0.0017450401937168392
